Timestamp,Source_Sat,Destination_Network,Next_Hop_IP
103013,STARLINK-1791,192.168.28.12/30,192.168.30.53
103013,STARLINK-1791,192.168.10.220/30,192.168.30.53
103013,STARLINK-1791,192.168.19.68/30,192.168.30.53
103013,STARLINK-1791,192.168.4.40/30,192.168.30.53
103013,STARLINK-2431,192.168.26.84/30,192.168.11.117
103013,STARLINK-2431,192.168.26.88/30,192.168.11.117
103013,STARLINK-2431,192.168.26.144/30,192.168.11.117
103013,STARLINK-2431,192.168.11.120/30,192.168.11.117
103013,STARLINK-2431,192.168.11.112/30,192.168.11.117
103013,STARLINK-2431,192.168.30.52/30,192.168.28.174
103013,STARLINK-2431,192.168.4.40/30,192.168.28.174
103013,STARLINK-2431,192.168.19.68/30,192.168.28.174
103013,STARLINK-2431,192.168.10.220/30,192.168.28.174
103013,STARLINK-2431,192.168.28.12/30,192.168.28.174
103013,STARLINK-2431,192.168.27.188/30,192.168.28.174
103013,STARLINK-2431,192.168.1.12/30,192.168.28.174
103013,STARLINK-2431,192.168.1.8/30,192.168.28.174
103013,STARLINK-1062,192.168.26.84/30,192.168.28.173
103013,STARLINK-1062,192.168.26.88/30,192.168.28.173
103013,STARLINK-1062,192.168.26.144/30,192.168.28.173
103013,STARLINK-1062,192.168.11.120/30,192.168.28.173
103013,STARLINK-1062,192.168.11.112/30,192.168.28.173
103013,STARLINK-1062,192.168.11.116/30,192.168.28.173
103013,STARLINK-1062,192.168.30.52/30,192.168.1.9
103013,STARLINK-1062,192.168.4.40/30,192.168.1.9
103013,STARLINK-1062,192.168.19.68/30,192.168.1.9
103013,STARLINK-1062,192.168.10.220/30,192.168.1.9
103013,STARLINK-1062,192.168.28.12/30,192.168.1.9
103013,STARLINK-1062,192.168.27.188/30,192.168.1.9
103013,STARLINK-1062,192.168.1.12/30,192.168.1.9
103013,STARLINK-2380,192.168.26.84/30,192.168.1.13
103013,STARLINK-2380,192.168.26.88/30,192.168.1.13
103013,STARLINK-2380,192.168.26.144/30,192.168.1.13
103013,STARLINK-2380,192.168.11.120/30,192.168.1.13
103013,STARLINK-2380,192.168.11.112/30,192.168.1.13
103013,STARLINK-2380,192.168.11.116/30,192.168.1.13
103013,STARLINK-2380,192.168.28.172/30,192.168.1.13
103013,STARLINK-2380,192.168.1.8/30,192.168.1.13
103013,STARLINK-2380,192.168.30.52/30,192.168.27.190
103013,STARLINK-2380,192.168.4.40/30,192.168.27.190
103013,STARLINK-2380,192.168.19.68/30,192.168.27.190
103013,STARLINK-2380,192.168.10.220/30,192.168.27.190
103013,STARLINK-2380,192.168.28.12/30,192.168.27.190
103018,STARLINK-1152,192.168.26.84/30,192.168.19.69
103018,STARLINK-1152,192.168.26.88/30,192.168.19.69
103018,STARLINK-1152,192.168.26.144/30,192.168.19.69
103018,STARLINK-1152,192.168.11.120/30,192.168.19.69
103018,STARLINK-1152,192.168.11.112/30,192.168.19.69
103018,STARLINK-1152,192.168.11.116/30,192.168.19.69
103018,STARLINK-1152,192.168.28.172/30,192.168.19.69
103018,STARLINK-1152,192.168.1.8/30,192.168.19.69
103018,STARLINK-1152,192.168.1.12/30,192.168.19.69
103018,STARLINK-1152,192.168.27.188/30,192.168.19.69
103018,STARLINK-1152,192.168.28.12/30,192.168.19.69
103018,STARLINK-1152,192.168.10.220/30,192.168.19.69
103018,STARLINK-1152,192.168.30.52/30,192.168.4.42
103018,STARLINK-2160,192.168.26.84/30,192.168.26.89
103018,STARLINK-2160,192.168.30.52/30,192.168.26.146
103018,STARLINK-2160,192.168.4.40/30,192.168.26.146
103018,STARLINK-2160,192.168.19.68/30,192.168.26.146
103018,STARLINK-2160,192.168.10.220/30,192.168.26.146
103018,STARLINK-2160,192.168.28.12/30,192.168.26.146
103018,STARLINK-2160,192.168.27.188/30,192.168.26.146
103018,STARLINK-2160,192.168.1.12/30,192.168.26.146
103018,STARLINK-2160,192.168.1.8/30,192.168.26.146
103018,STARLINK-2160,192.168.28.172/30,192.168.26.146
103018,STARLINK-2160,192.168.11.116/30,192.168.26.146
103018,STARLINK-2160,192.168.11.112/30,192.168.26.146
103018,STARLINK-2160,192.168.11.120/30,192.168.26.146
103018,STARLINK-2394,192.168.26.84/30,192.168.27.189
103018,STARLINK-2394,192.168.26.88/30,192.168.27.189
103018,STARLINK-2394,192.168.26.144/30,192.168.27.189
103018,STARLINK-2394,192.168.11.120/30,192.168.27.189
103018,STARLINK-2394,192.168.11.112/30,192.168.27.189
103018,STARLINK-2394,192.168.11.116/30,192.168.27.189
103018,STARLINK-2394,192.168.28.172/30,192.168.27.189
103018,STARLINK-2394,192.168.1.8/30,192.168.27.189
103018,STARLINK-2394,192.168.1.12/30,192.168.27.189
103018,STARLINK-2394,192.168.30.52/30,192.168.28.14
103018,STARLINK-2394,192.168.4.40/30,192.168.28.14
103018,STARLINK-2394,192.168.19.68/30,192.168.28.14
103018,STARLINK-2394,192.168.10.220/30,192.168.28.14
103018,STARLINK-1484,192.168.26.84/30,192.168.26.145
