Timestamp,Source_Sat,Source_IP,Interface,Destination_Network,Next_Hop_IP
103000,STARLINK-1471,192.168.28.14,STL-1471-eth4,192.168.27.188/30,192.168.28.13
103000,STARLINK-1471,192.168.10.221,STL-1471-eth1,192.168.30.52/30,192.168.10.222
103000,STARLINK-1471,192.168.10.221,STL-1471-eth1,192.168.4.40/30,192.168.10.222
103000,STARLINK-1471,192.168.10.221,STL-1471-eth1,192.168.19.68/30,192.168.10.222
103000,STARLINK-1791,192.168.30.54,STL-1791-eth2,192.168.26.84/30,192.168.30.53
103000,STARLINK-1791,192.168.30.54,STL-1791-eth2,192.168.26.88/30,192.168.30.53
103000,STARLINK-1791,192.168.30.54,STL-1791-eth2,192.168.26.144/30,192.168.30.53
103000,STARLINK-1791,192.168.30.54,STL-1791-eth2,192.168.11.120/30,192.168.30.53
103000,STARLINK-1791,192.168.30.54,STL-1791-eth2,192.168.11.112/30,192.168.30.53
103000,STARLINK-1791,192.168.30.54,STL-1791-eth2,192.168.11.116/30,192.168.30.53
103000,STARLINK-1791,192.168.30.54,STL-1791-eth2,192.168.28.172/30,192.168.30.53
103000,STARLINK-1791,192.168.30.54,STL-1791-eth2,192.168.1.8/30,192.168.30.53
103000,STARLINK-1791,192.168.30.54,STL-1791-eth2,192.168.1.12/30,192.168.30.53
103000,STARLINK-1791,192.168.30.54,STL-1791-eth2,192.168.27.188/30,192.168.30.53
103000,STARLINK-1791,192.168.30.54,STL-1791-eth2,192.168.28.12/30,192.168.30.53
103000,STARLINK-1791,192.168.30.54,STL-1791-eth2,192.168.10.220/30,192.168.30.53
103000,STARLINK-1791,192.168.30.54,STL-1791-eth2,192.168.19.68/30,192.168.30.53
103000,STARLINK-1791,192.168.30.54,STL-1791-eth2,192.168.4.40/30,192.168.30.53
103000,STARLINK-2431,192.168.11.118,STL-2431-eth0,192.168.26.84/30,192.168.11.117
103000,STARLINK-2431,192.168.11.118,STL-2431-eth0,192.168.26.88/30,192.168.11.117
103000,STARLINK-2431,192.168.11.118,STL-2431-eth0,192.168.26.144/30,192.168.11.117
103000,STARLINK-2431,192.168.11.118,STL-2431-eth0,192.168.11.120/30,192.168.11.117
103000,STARLINK-2431,192.168.11.118,STL-2431-eth0,192.168.11.112/30,192.168.11.117
103000,STARLINK-2431,192.168.28.173,STL-2431-eth2,192.168.30.52/30,192.168.28.174
103000,STARLINK-2431,192.168.28.173,STL-2431-eth2,192.168.4.40/30,192.168.28.174
103000,STARLINK-2431,192.168.28.173,STL-2431-eth2,192.168.19.68/30,192.168.28.174
103000,STARLINK-2431,192.168.28.173,STL-2431-eth2,192.168.10.220/30,192.168.28.174
103000,STARLINK-2431,192.168.28.173,STL-2431-eth2,192.168.28.12/30,192.168.28.174
103000,STARLINK-2431,192.168.28.173,STL-2431-eth2,192.168.27.188/30,192.168.28.174
103000,STARLINK-2431,192.168.28.173,STL-2431-eth2,192.168.1.12/30,192.168.28.174
103000,STARLINK-2431,192.168.28.173,STL-2431-eth2,192.168.1.8/30,192.168.28.174
103000,STARLINK-1062,192.168.28.174,STL-1062-eth2,192.168.26.84/30,192.168.28.173
103000,STARLINK-1062,192.168.28.174,STL-1062-eth2,192.168.26.88/30,192.168.28.173
103000,STARLINK-1062,192.168.28.174,STL-1062-eth2,192.168.26.144/30,192.168.28.173
103000,STARLINK-1062,192.168.28.174,STL-1062-eth2,192.168.11.120/30,192.168.28.173
103000,STARLINK-1062,192.168.28.174,STL-1062-eth2,192.168.11.112/30,192.168.28.173
103000,STARLINK-1062,192.168.28.174,STL-1062-eth2,192.168.11.116/30,192.168.28.173
103000,STARLINK-1062,192.168.1.10,STL-1062-eth0,192.168.30.52/30,192.168.1.9
